point_id,latitude,longitude,Code,ratio_cs_sr,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled,cs137_kBq_m2,sr90_kBq_m2,k40_Bq_kg,ra226_Bq_kg,th232_Bq_kg,scenario_name,source_row_index,predicted_target_dose_rate,model_mode,model_version,feature_set,model_name,warning_count,warning_columns,warning_types
0,51.151183,29.86728,4,4.53,5.0,5.0,13.0,15.0,61.0,61.0,128.0,130.0,58.0,58.0,136.0,12.5,5.29,25.6,5.65,110.0,7.0,10.0,baseline,0,0.1012497106603482,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
1,51.14306,29.85566,7,5.48,5.0,5.0,13.0,15.0,62.0,62.0,130.0,131.0,60.0,60.0,134.0,22.5,5.11,15.5,2.83,127.0,9.0,7.0,baseline,1,0.09795476126708447,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
2,51.13967,29.86646,12,4.38,5.0,4.0,14.0,16.0,62.0,62.0,133.0,132.0,59.0,59.0,129.0,17.9,5.54,37.7,8.61,124.0,10.0,7.0,baseline,2,0.1041413404421007,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
3,51.133835,29.88057,21,3.53,4.0,4.0,15.0,17.0,57.0,56.0,133.0,132.0,64.0,65.0,125.0,16.4,5.21,32.5,9.19,118.0,10.0,6.0,baseline,3,0.10190091055371282,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
4,51.125783,30.037053,39,2.37,5.0,5.0,14.0,16.0,50.0,49.0,131.0,130.0,64.0,64.0,117.0,1.6,8.15,111.0,47.0,150.0,19.0,12.0,baseline,4,0.10723906678961113,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
5,51.12493,29.95222,45,4.44,5.0,4.0,17.0,18.0,54.0,55.0,133.0,133.0,64.0,64.0,121.0,33.4,4.53,27.5,6.21,154.0,14.0,9.0,baseline,5,0.10219297122112957,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
6,51.12447,29.93698,48,2.85,4.0,4.0,14.0,15.0,53.0,52.0,133.0,131.0,65.0,65.0,121.0,6.6,5.8,13.8,4.86,125.0,9.0,9.0,baseline,6,0.10042769042342131,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
7,51.1256,29.92359,51,2.89,5.0,5.0,15.0,16.0,52.0,52.0,134.0,132.0,66.0,66.0,122.0,17.7,5.13,36.2,12.5,233.0,13.0,14.0,baseline,7,0.10536482411854718,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
8,51.12606,29.90969,54,2.0,4.0,4.0,15.0,17.0,57.0,57.0,134.0,132.0,64.0,64.0,120.0,6.9,6.05,37.3,18.7,207.0,15.0,12.0,baseline,8,0.1047175386945623,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
9,51.12501,29.86512,57,1.97,4.0,4.0,15.0,17.0,53.0,53.0,132.0,131.0,64.0,64.0,119.0,4.6,6.57,2.17,1.1,3.2,12.0,14.0,baseline,9,0.09757989022334757,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
10,51.12458,29.82432,61,3.53,4.0,4.0,16.0,18.0,57.0,57.0,139.0,138.0,60.0,61.0,129.0,6.6,6.09,16.4,4.65,110.0,85.0,6.6,baseline,10,0.10341970135804324,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
11,51.12767,29.83336,62,5.93,4.0,4.0,15.0,17.0,57.0,57.0,133.0,132.0,59.0,59.0,126.0,16.2,5.21,36.9,6.21,178.0,14.0,11.0,baseline,11,0.10436720034992493,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
12,51.12198,29.86163,68,3.56,4.0,4.0,17.0,18.0,55.0,55.0,134.0,132.0,65.0,65.0,121.0,9.6,5.47,28.8,8.08,135.0,13.0,8.0,baseline,12,0.10154706767738889,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
13,51.121852,30.019,69,1.9,5.0,5.0,16.0,17.0,56.0,56.0,133.0,132.0,64.0,64.0,119.0,2.9,6.48,113.0,59.7,220.0,20.0,12.0,baseline,13,0.12034324718790795,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
14,51.11882,29.85284,76,3.07,3.0,3.0,17.0,19.0,60.0,60.0,134.0,132.0,63.0,63.0,129.0,8.5,5.89,26.1,8.51,263.0,15.0,15.0,baseline,14,0.10363248513054787,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
15,51.11565,29.8666,92,1.82,4.0,4.0,15.0,17.0,55.0,55.0,137.0,135.0,64.0,64.0,124.0,2.6,6.53,29.7,16.3,182.0,9.5,11.0,baseline,15,0.10496747615535526,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
16,51.11545,29.88094,95,3.45,5.0,5.0,15.0,17.0,57.0,57.0,133.0,131.0,63.0,63.0,128.0,6.8,5.93,31.6,9.15,131.0,11.0,9.0,baseline,16,0.10179158670967235,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
17,51.116417,30.02203,106,2.22,5.0,4.0,15.0,16.0,54.0,54.0,126.0,124.0,64.0,64.0,121.0,27.6,4.78,84.8,38.2,150.0,10.0,9.0,baseline,17,0.12134372125018816,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
18,51.115856,30.080875,111,2.63,4.0,4.0,17.0,18.0,49.0,49.0,134.0,136.0,65.0,65.0,126.0,13.3,5.43,62.1,23.6,150.0,13.0,10.0,baseline,18,0.11117259018382346,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
19,51.115856,30.109432,113,13.9,5.0,5.0,17.0,18.0,52.0,52.0,141.0,141.0,69.0,69.0,126.0,6.1,6.89,62.4,4.49,156.0,12.0,9.0,baseline,19,0.10932874138575775,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
20,51.11586,30.13847,115,8.11,8.0,8.0,12.0,13.0,65.0,65.0,126.0,125.0,58.0,58.0,142.0,18.6,5.38,84.2,10.4,110.0,7.0,5.0,baseline,20,0.13588578986552866,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
21,51.115849,30.209404,116,3.44,5.0,4.0,16.0,17.0,69.0,70.0,124.0,128.0,57.0,57.0,122.0,1.2,7.47,46.4,13.5,215.0,12.0,11.0,baseline,21,0.10775166351369023,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
22,51.11654,30.28486,119,2.64,5.0,5.0,15.0,16.0,59.0,58.0,124.0,127.0,59.0,59.0,120.0,3.7,6.75,69.8,26.4,80.0,9.0,5.0,baseline,22,0.1043559409673731,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
23,51.11642,30.30774,121,3.0,7.0,7.0,13.0,14.0,58.0,58.0,126.0,129.0,64.0,64.0,115.0,1.8,7.68,50.5,16.8,80.0,6.0,5.0,baseline,23,0.1046026498987787,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
24,51.11399,30.14742,127,2.59,5.0,5.0,15.0,16.0,62.0,61.0,122.0,121.0,56.0,56.0,129.0,10.0,5.49,26.1,10.1,100.0,10.0,6.0,baseline,24,0.10508715888283195,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
25,51.11288,30.01851,131,2.24,4.0,4.0,15.0,16.0,66.0,67.0,135.0,134.0,62.0,62.0,124.0,24.4,4.7,64.9,28.9,90.0,6.0,5.0,baseline,25,0.11955319338914262,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
26,51.112858,29.738181,135,10.4,4.0,4.0,13.0,15.0,72.0,72.0,126.0,128.0,60.0,60.0,134.0,18.5,4.73,12.5,1.2,64.0,7.0,6.0,baseline,26,0.09723064768936705,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
27,51.11255,29.72871,137,3.38,5.0,5.0,15.0,17.0,67.0,67.0,129.0,129.0,62.0,62.0,134.0,16.0,5.4,8.23,2.44,98.0,12.0,7.0,baseline,27,0.09713865218793773,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
28,51.10995,29.74291,141,6.54,5.0,5.0,12.0,14.0,73.0,73.0,131.0,133.0,60.0,60.0,138.0,8.4,6.33,13.8,2.11,99.0,13.0,8.5,baseline,28,0.09762890160497542,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
29,51.10971,30.27507,151,4.28,5.0,5.0,15.0,16.0,62.0,62.0,132.0,130.0,62.0,62.0,120.0,3.4,6.45,33.0,7.71,130.0,15.0,7.0,baseline,29,0.10253477592095304,nuclide_mode,1.0.0,env_plus_no_ratio,extra_trees,0,,
